round_epochs,loss,PR_AUC,ROC_AUC,val_loss,val_PR_AUC,val_ROC_AUC,activation1,activation2,batch_size,dropout1,dropout2,epochs,losses,neurons1,neurons2,optimizer
3,0.31997487974627054,0.6188897,0.9514263,0.3519578972426785,0.6661161,0.9499667,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,512,0.1,0.1,10,<function binary_crossentropy at 0x7fdf83cefdd0>,16,16,RMSprop
10,0.20978439537956028,0.024528008,0.59825826,0.0007382011632609866,0.19876993,0.6148172,<function sigmoid at 0x7fdf812db560>,<function relu at 0x7fdf812db440>,32,0.5,0.5,46,<function logcosh at 0x7fdf83cefc20>,8,16,RMSprop
5,0.027263014564491966,0.6557952,0.963877,0.041741857928318006,0.6414596,0.95070976,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,1024,0.2,0.2,28,<function logcosh at 0x7fdf83cefc20>,16,128,RMSprop
16,0.6873134393110601,0.58537465,0.8930984,0.008077665119331189,0.58589643,0.84447986,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,64,0.4,0.2,82,<function binary_crossentropy at 0x7fdf83cefdd0>,16,128,RMSprop
4,0.207483919055721,0.6809232,0.9663463,0.3178412310346847,0.6472125,0.9533174,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,2048,0.30000000000000004,0.1,10,<function binary_crossentropy at 0x7fdf83cefdd0>,128,128,Adam
8,0.05346862683227966,0.7378655,0.9704511,0.04396648969690785,0.67514336,0.9524461,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,64,0.30000000000000004,0.4,10,<function logcosh at 0x7fdf83cefc20>,16,16,SGD
5,0.10988009859704849,0.017333612,0.6903201,0.09179680671072835,0.65970314,0.89437604,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,4096,0.2,0.1,46,<function logcosh at 0x7fdf83cefc20>,16,128,RMSprop
12,3.2545829560088406,0.2751506,0.7781638,0.01562831293770714,0.41816795,0.766637,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,16,0.30000000000000004,0.30000000000000004,64,<function binary_crossentropy at 0x7fdf83cefdd0>,128,64,RMSprop
8,0.06403749623582218,0.61478835,0.8861192,0.0004002225436268929,0.5473852,0.83432776,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,16,0.2,0.4,46,<function logcosh at 0x7fdf83cefc20>,32,128,RMSprop
32,0.236081960889932,0.54067695,0.9587161,0.1114372743090185,0.65773517,0.9533637,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,4096,0.5,0.4,82,<function binary_crossentropy at 0x7fdf83cefdd0>,16,128,RMSprop
3,0.03446944686679006,0.4828397,0.94866586,0.007683995364596666,0.66364825,0.95396,<function relu at 0x7fdf812db440>,<function sigmoid at 0x7fdf812db560>,16,0.1,0.5,10,<function logcosh at 0x7fdf83cefc20>,16,32,Adam
2,3.3384521545923014,0.0016155366,0.4789859,0.027169157800553734,0.0010938535,0.26945806,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,16,0.4,0.30000000000000004,10,<function binary_crossentropy at 0x7fdf83cefdd0>,8,64,RMSprop
21,0.2559444305433218,0.5239568,0.9555236,0.06287961205884374,0.5851294,0.9440938,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,512,0.2,0.4,82,<function binary_crossentropy at 0x7fdf83cefdd0>,128,128,RMSprop
15,0.204069772284049,0.67950684,0.9664008,0.13977406325959232,0.6652497,0.95411056,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,128,0.1,0.1,64,<function binary_crossentropy at 0x7fdf83cefdd0>,8,64,Adam
82,0.09028438464746183,0.7380277,0.9625591,0.0808167097135633,0.66593635,0.9394083,<function relu at 0x7fdf812db440>,<function relu at 0x7fdf812db440>,4096,0.4,0.30000000000000004,82,<function logcosh at 0x7fdf83cefc20>,16,64,SGD
2,0.12242439783545578,0.0017906465,0.5054914,0.11626312311266937,0.0062344857,0.6706213,<function sigmoid at 0x7fdf812db560>,<function sigmoid at 0x7fdf812db560>,1024,0.1,0.30000000000000004,10,<function logcosh at 0x7fdf83cefc20>,128,64,SGD
