round_epochs,loss,PR_AUC,val_loss,val_PR_AUC,activation1,activation2,batch_size,dropout1,dropout2,epochs,losses,neurons1,neurons2,optimizer
42,0.014629621422030574,0.24021193,0.01459287839278518,0.3941385,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,4096,0.2,0.1,42,<function binary_crossentropy at 0x7f7b088b0e60>,32,8,SGD
7,0.0007491267307599006,0.0022680713,0.0007499598136262974,0.0017321488,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,512,0.2,0.2,26,<function logcosh at 0x7f7b088b0cb0>,8,64,Adam
5,0.0007486018073212147,0.0017164455,0.0007505945654347206,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,512,0.30000000000000004,0.4,26,<function logcosh at 0x7f7b088b0cb0>,128,128,Adam
10,0.00026771728553233535,0.70603096,0.00028945506251692516,0.668518,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,64,0.2,0.4,26,<function logcosh at 0x7f7b088b0cb0>,16,128,Adam
10,0.0007656787177326758,0.0024974798,0.0007586640027880068,0.0017327371,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,64,0.30000000000000004,0.30000000000000004,10,<function logcosh at 0x7f7b088b0cb0>,64,128,SGD
2,0.0007526424439927672,0.0017026375,0.0007513313930069994,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,64,0.1,0.1,18,<function logcosh at 0x7f7b088b0cb0>,64,16,Adam
34,0.000991568894946756,0.21240306,0.0009641742880649177,0.43013924,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,512,0.4,0.4,34,<function logcosh at 0x7f7b088b0cb0>,64,32,SGD
42,0.012755036628765953,0.0018730591,0.012548690838541224,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,4096,0.2,0.30000000000000004,42,<function binary_crossentropy at 0x7f7b088b0e60>,16,128,SGD
10,0.011972318396041912,0.015743721,0.011703903597488588,0.106882714,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,32,0.4,0.4,10,<function binary_crossentropy at 0x7f7b088b0e60>,8,64,SGD
14,0.0006700668446825035,0.38599613,0.0006900383718221317,0.3840219,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,16,0.30000000000000004,0.2,26,<function logcosh at 0x7f7b088b0cb0>,8,8,RMSprop
10,0.0010005605484825122,0.021946587,0.0008651143486417284,0.22231117,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,128,0.5,0.5,10,<function logcosh at 0x7f7b088b0cb0>,64,8,SGD
34,0.004784481230572649,0.6652461,0.004695377004590439,0.6450478,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,4096,0.2,0.30000000000000004,34,<function binary_crossentropy at 0x7f7b088b0e60>,64,128,RMSprop
8,0.0038856167194110396,0.7002773,0.0047441284442645065,0.65755826,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,64,0.2,0.30000000000000004,10,<function binary_crossentropy at 0x7f7b088b0e60>,128,16,Adam
42,0.00958046096581769,0.54213065,0.009758880229757091,0.4750613,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,64,0.2,0.1,42,<function binary_crossentropy at 0x7f7b088b0e60>,64,8,SGD
42,0.006887088732364844,0.6634066,0.006592261347590176,0.6484714,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,2048,0.5,0.4,42,<function binary_crossentropy at 0x7f7b088b0e60>,8,8,RMSprop
16,0.0037886520780879692,0.70825183,0.004574145002083185,0.6638399,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,16,0.5,0.2,42,<function binary_crossentropy at 0x7f7b088b0e60>,64,16,Adam
15,0.003526294023504565,0.72224337,0.003906871290015462,0.68809503,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,1024,0.5,0.2,42,<function binary_crossentropy at 0x7f7b088b0e60>,128,128,RMSprop
18,0.004208238666032698,0.69165266,0.00416608434091426,0.67465115,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,512,0.4,0.2,18,<function binary_crossentropy at 0x7f7b088b0e60>,128,8,Adam
26,0.010190977812664235,0.346494,0.010141183416750467,0.43665344,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,4096,0.5,0.30000000000000004,26,<function binary_crossentropy at 0x7f7b088b0e60>,64,16,RMSprop
32,0.004335120329843647,0.69307566,0.00481678232274831,0.6374546,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,64,0.5,0.4,42,<function binary_crossentropy at 0x7f7b088b0e60>,8,16,Adam
34,0.001897873631197921,0.41388908,0.0018736056807570599,0.42820448,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,2048,0.1,0.1,34,<function logcosh at 0x7f7b088b0cb0>,32,128,SGD
42,0.004341035753066371,0.6744346,0.004047794142622031,0.66776764,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,1024,0.2,0.1,42,<function binary_crossentropy at 0x7f7b088b0e60>,16,8,Adam
7,0.0007855660715755822,0.02254025,0.000749012795663123,0.09381911,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,16,0.2,0.5,10,<function logcosh at 0x7f7b088b0cb0>,128,16,SGD
42,0.0011427303956038548,0.0038912187,0.0008868902629479532,0.56582665,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,4096,0.30000000000000004,0.5,42,<function logcosh at 0x7f7b088b0cb0>,16,128,SGD
18,0.004246325207935908,0.733281,0.004623209505024271,0.66738933,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,32,0.2,0.2,34,<function binary_crossentropy at 0x7f7b088b0e60>,8,16,Adam
9,0.013753946158147836,0.0021662912,0.012297979620627949,0.0017321488,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,2048,0.30000000000000004,0.5,34,<function binary_crossentropy at 0x7f7b088b0e60>,8,64,Adam
8,0.004227497009921512,0.6924612,0.0044379263794311185,0.6584736,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,32,0.2,0.30000000000000004,34,<function binary_crossentropy at 0x7f7b088b0e60>,8,16,Adam
2,0.0007487912638315943,0.0022906312,0.0007504638030229872,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,64,0.1,0.4,18,<function logcosh at 0x7f7b088b0cb0>,64,64,Adam
5,0.0007500475690569612,0.0019568997,0.000750541050490649,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,2048,0.2,0.30000000000000004,10,<function logcosh at 0x7f7b088b0cb0>,8,8,RMSprop
26,0.0007573542218968032,0.002485187,0.0007521113076223268,0.1439042,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,128,0.4,0.2,26,<function logcosh at 0x7f7b088b0cb0>,128,128,SGD
26,0.0003763286824434862,0.57358754,0.0003075376615823216,0.65851825,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,512,0.2,0.1,26,<function logcosh at 0x7f7b088b0cb0>,16,8,Adam
42,0.0007478687426019319,0.0018110455,0.000750323544243549,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,16,0.30000000000000004,0.2,42,<function logcosh at 0x7f7b088b0cb0>,32,128,SGD
8,0.004032582923176133,0.70923436,0.004661248941714497,0.64118695,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,1024,0.5,0.30000000000000004,18,<function binary_crossentropy at 0x7f7b088b0e60>,64,128,RMSprop
42,0.00026547896465231786,0.7190286,0.0002919413002081167,0.6556288,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,32,0.4,0.30000000000000004,42,<function logcosh at 0x7f7b088b0cb0>,8,8,Adam
9,0.004561017269265231,0.6755951,0.004969880660343625,0.6288378,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,128,0.1,0.2,10,<function binary_crossentropy at 0x7f7b088b0e60>,32,64,Adam
36,0.004454224866315008,0.6973048,0.004229790411068832,0.67710656,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,2048,0.4,0.4,42,<function binary_crossentropy at 0x7f7b088b0e60>,64,8,RMSprop
26,0.0011473809995744687,0.29893628,0.0011410181599130387,0.32403332,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,512,0.1,0.1,26,<function logcosh at 0x7f7b088b0cb0>,8,16,SGD
18,0.00426903737149999,0.687619,0.005001505741689433,0.6413928,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,64,0.5,0.2,42,<function binary_crossentropy at 0x7f7b088b0e60>,16,32,Adam
26,0.010917938347281747,0.3050632,0.010965704483950232,0.3209407,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,32,0.30000000000000004,0.30000000000000004,26,<function binary_crossentropy at 0x7f7b088b0e60>,32,32,SGD
34,0.0008457986003770115,0.091902465,0.000760310991610962,0.15051617,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,2048,0.30000000000000004,0.4,34,<function logcosh at 0x7f7b088b0cb0>,8,8,Adam
42,0.0007621789665140464,0.20207055,0.0007625897404354675,0.4917721,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,64,0.4,0.30000000000000004,42,<function logcosh at 0x7f7b088b0cb0>,16,8,SGD
15,0.005429930466494665,0.64971685,0.006140961086450937,0.6286206,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,128,0.5,0.1,42,<function binary_crossentropy at 0x7f7b088b0e60>,128,16,RMSprop
10,0.007974721249429516,0.6328405,0.007910822568300013,0.6509601,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,512,0.1,0.1,10,<function binary_crossentropy at 0x7f7b088b0e60>,32,8,RMSprop
10,0.004523220242029883,0.6571126,0.005116311379010656,0.62556136,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,128,0.30000000000000004,0.1,34,<function binary_crossentropy at 0x7f7b088b0e60>,64,64,Adam
26,0.00077062909270325,0.028915789,0.0007618837929535843,0.3569165,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,64,0.4,0.30000000000000004,26,<function logcosh at 0x7f7b088b0cb0>,8,64,SGD
41,0.00024669736151983126,0.71877193,0.0002814810867904237,0.66157365,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,32,0.2,0.1,42,<function logcosh at 0x7f7b088b0cb0>,32,128,Adam
4,0.0037213560993656167,0.7204453,0.005597908492282644,0.6549264,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,32,0.1,0.1,18,<function binary_crossentropy at 0x7f7b088b0e60>,128,16,Adam
10,0.015658688932084407,0.28990388,0.014502433391446778,0.5761053,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,1024,0.4,0.4,10,<function binary_crossentropy at 0x7f7b088b0e60>,8,8,SGD
42,0.0010897299414927566,0.001684486,0.0007502878356645478,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,4096,0.30000000000000004,0.30000000000000004,42,<function logcosh at 0x7f7b088b0cb0>,16,8,Adam
26,0.0008121468179840253,0.19044149,0.0008083372834604232,0.5825547,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,128,0.2,0.1,26,<function logcosh at 0x7f7b088b0cb0>,64,8,SGD
10,0.0007483457096993571,0.0029486888,0.0007494585559601037,0.022285214,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,4096,0.1,0.2,10,<function logcosh at 0x7f7b088b0cb0>,16,8,RMSprop
23,0.00031002954637128103,0.68829226,0.00033089036807794754,0.65153563,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,1024,0.1,0.1,34,<function logcosh at 0x7f7b088b0cb0>,32,32,RMSprop
9,0.001087528938220229,0.0019092364,0.0007501542409653705,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,4096,0.30000000000000004,0.4,18,<function logcosh at 0x7f7b088b0cb0>,128,16,Adam
6,0.00685958400748809,0.6684507,0.007449493821634175,0.6158577,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,32,0.30000000000000004,0.2,26,<function binary_crossentropy at 0x7f7b088b0e60>,128,8,RMSprop
6,0.01608660784533775,0.36290723,0.021424741230654333,0.3070804,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,32,0.5,0.5,42,<function binary_crossentropy at 0x7f7b088b0e60>,16,16,RMSprop
4,0.014377061491651258,0.0019179672,0.012776388335552417,0.0017321488,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,512,0.5,0.5,26,<function binary_crossentropy at 0x7f7b088b0e60>,16,64,Adam
19,0.0003046281093871504,0.6819807,0.0002905647793673354,0.6435568,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,512,0.5,0.4,26,<function logcosh at 0x7f7b088b0cb0>,32,64,Adam
18,0.0007656274018419972,0.3833512,0.0007664757178912556,0.39284375,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,32,0.2,0.2,18,<function logcosh at 0x7f7b088b0cb0>,16,16,SGD
16,0.00032746614458348505,0.64039755,0.00036398230236212346,0.633438,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,64,0.5,0.1,34,<function logcosh at 0x7f7b088b0cb0>,32,64,RMSprop
5,0.00025393542963138055,0.70386946,0.0003981762828220802,0.5884726,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,128,0.1,0.4,34,<function logcosh at 0x7f7b088b0cb0>,64,128,Adam
3,0.0007491915759137179,0.0021458825,0.0007512467340546969,0.0017321488,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,128,0.1,0.4,26,<function logcosh at 0x7f7b088b0cb0>,8,64,Adam
3,0.0007693369158826455,0.0022532162,0.0007513219287558489,0.0017321488,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,2048,0.5,0.30000000000000004,10,<function logcosh at 0x7f7b088b0cb0>,32,8,RMSprop
8,0.0037334148423578692,0.7213108,0.004262425728895523,0.661565,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,1024,0.5,0.4,26,<function binary_crossentropy at 0x7f7b088b0e60>,128,64,RMSprop
33,0.0034873876126269277,0.7412795,0.004322930549429332,0.67489266,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,128,0.2,0.1,42,<function binary_crossentropy at 0x7f7b088b0e60>,64,16,Adam
26,0.01229118774831936,0.0037314177,0.012139712137447769,0.0017321488,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,512,0.4,0.2,26,<function binary_crossentropy at 0x7f7b088b0e60>,32,32,SGD
7,0.003964162618200716,0.7199338,0.004415543617805675,0.6577843,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,2048,0.4,0.4,10,<function binary_crossentropy at 0x7f7b088b0e60>,128,32,RMSprop
9,0.0003876277706729799,0.6191691,0.00034641394427671954,0.65261257,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,128,0.2,0.2,18,<function logcosh at 0x7f7b088b0cb0>,16,8,Adam
18,0.011550526919401685,0.07854656,0.011373504777440082,0.23616378,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,32,0.5,0.5,18,<function binary_crossentropy at 0x7f7b088b0e60>,32,64,SGD
26,0.0007640505746036564,0.021768909,0.0007523465516682267,0.15495342,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,32,0.1,0.30000000000000004,26,<function logcosh at 0x7f7b088b0cb0>,32,16,SGD
9,0.0038748464283898994,0.7060853,0.004477090665823238,0.6616399,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,64,0.30000000000000004,0.5,34,<function binary_crossentropy at 0x7f7b088b0e60>,32,128,Adam
7,0.00030129800526217197,0.6925529,0.0003285668290871646,0.6568134,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,16,0.1,0.2,18,<function logcosh at 0x7f7b088b0cb0>,8,16,Adam
11,0.0038453655102622278,0.7113728,0.004214141144412995,0.6733504,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,512,0.1,0.5,34,<function binary_crossentropy at 0x7f7b088b0e60>,64,64,Adam
26,0.0007845862971733913,0.0018448594,0.000751746576641402,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,4096,0.2,0.4,26,<function logcosh at 0x7f7b088b0cb0>,128,16,Adam
27,0.00025140445796343697,0.7209021,0.00028309088557404894,0.66571134,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,4096,0.4,0.30000000000000004,34,<function logcosh at 0x7f7b088b0cb0>,128,128,Adam
17,0.0007588723210820044,0.0021279966,0.0007502014693955459,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,32,0.30000000000000004,0.2,34,<function logcosh at 0x7f7b088b0cb0>,128,16,SGD
3,0.0007483766482092191,0.0020969182,0.0007509508641783772,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,2048,0.4,0.4,18,<function logcosh at 0x7f7b088b0cb0>,32,64,RMSprop
13,0.0003628585708770494,0.56760406,0.0003091499780249587,0.63590926,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,512,0.5,0.2,26,<function logcosh at 0x7f7b088b0cb0>,32,128,Adam
7,0.0006776235643243219,0.51081175,0.0006888699397634284,0.62294096,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,32,0.1,0.2,18,<function logcosh at 0x7f7b088b0cb0>,8,8,RMSprop
10,0.014089069061769967,0.0017674158,0.012975407139379115,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,4096,0.5,0.5,26,<function binary_crossentropy at 0x7f7b088b0e60>,16,16,RMSprop
2,0.016571534058709845,0.0015542933,0.013159471008349239,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,1024,0.5,0.2,10,<function binary_crossentropy at 0x7f7b088b0e60>,128,8,Adam
24,0.0004039854143125135,0.58899856,0.00043379356767338744,0.58227473,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,32,0.4,0.1,34,<function logcosh at 0x7f7b088b0cb0>,8,16,RMSprop
5,0.0007487383080687392,0.0016865837,0.0007512758919245287,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,128,0.4,0.1,42,<function logcosh at 0x7f7b088b0cb0>,64,8,Adam
38,0.005037054289090127,0.6519318,0.00465900068171028,0.6608763,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,4096,0.5,0.30000000000000004,42,<function binary_crossentropy at 0x7f7b088b0e60>,16,32,RMSprop
11,0.003543503269461175,0.7348297,0.004239614063309445,0.6696727,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,2048,0.2,0.2,42,<function binary_crossentropy at 0x7f7b088b0e60>,128,64,RMSprop
6,0.006074809071474433,0.6607127,0.007844550236651834,0.6201581,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,64,0.30000000000000004,0.4,42,<function binary_crossentropy at 0x7f7b088b0e60>,128,8,RMSprop
15,0.00026525521523061636,0.7082466,0.0003039635271755943,0.64338213,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,32,0.4,0.1,42,<function logcosh at 0x7f7b088b0cb0>,64,8,Adam
8,0.0004993253645656106,0.45261607,0.00050543174927049,0.4525603,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,16,0.5,0.2,18,<function logcosh at 0x7f7b088b0cb0>,32,32,RMSprop
18,0.015854553985048522,0.0058941925,0.014079408722152175,0.16757782,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,4096,0.4,0.1,18,<function binary_crossentropy at 0x7f7b088b0e60>,16,16,Adam
42,0.0029630377243390926,0.52169144,0.002931538747680068,0.5479475,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,4096,0.5,0.1,42,<function logcosh at 0x7f7b088b0cb0>,16,16,SGD
42,0.010910840113718009,0.3683076,0.011020814615704639,0.3155973,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,64,0.1,0.2,42,<function binary_crossentropy at 0x7f7b088b0e60>,8,64,SGD
34,0.012577515345713542,0.0024456135,0.012306596822684222,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,512,0.2,0.2,34,<function binary_crossentropy at 0x7f7b088b0e60>,64,128,SGD
42,0.0007530441268704795,0.010268778,0.0007538313776164161,0.03741429,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,32,0.2,0.2,42,<function logcosh at 0x7f7b088b0cb0>,32,16,SGD
34,0.0007619742671132988,0.025103413,0.000749192537678659,0.22100867,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,1024,0.5,0.5,34,<function logcosh at 0x7f7b088b0cb0>,16,8,Adam
42,0.000751160203744439,0.12224984,0.0007520739641083073,0.2407075,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,32,0.4,0.30000000000000004,42,<function logcosh at 0x7f7b088b0cb0>,128,16,SGD
3,0.00028293216339225064,0.68190646,0.0003761357653409773,0.5996139,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,64,0.2,0.30000000000000004,10,<function logcosh at 0x7f7b088b0cb0>,128,32,Adam
3,0.0007454099622096806,0.1363271,0.0007494253267812383,0.11772108,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,16,0.5,0.5,18,<function logcosh at 0x7f7b088b0cb0>,8,8,RMSprop
23,0.004350741222311495,0.67638946,0.004928173647777063,0.6357622,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,512,0.30000000000000004,0.2,34,<function binary_crossentropy at 0x7f7b088b0e60>,64,64,Adam
10,0.012790101025893263,0.03089086,0.012556271601472728,0.36623606,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,512,0.30000000000000004,0.2,10,<function binary_crossentropy at 0x7f7b088b0e60>,32,16,SGD
23,0.00453450921613706,0.700104,0.004598538472059628,0.654362,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,64,0.5,0.5,42,<function binary_crossentropy at 0x7f7b088b0e60>,8,8,Adam
26,0.012563035974218466,0.001980029,0.012512517377594927,0.0017321488,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,1024,0.5,0.1,26,<function binary_crossentropy at 0x7f7b088b0e60>,8,128,SGD
34,0.016278131738368177,0.008983675,0.016031546712879315,0.17307141,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,4096,0.30000000000000004,0.1,34,<function binary_crossentropy at 0x7f7b088b0e60>,8,8,SGD
4,0.0007694383275512767,0.0020248832,0.0007508929976746596,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,512,0.2,0.5,26,<function logcosh at 0x7f7b088b0cb0>,32,32,Adam
2,0.0007494964898894269,0.0020330295,0.0007505427256076409,0.0017321488,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,32,0.30000000000000004,0.5,10,<function logcosh at 0x7f7b088b0cb0>,32,8,Adam
6,0.013352611522446437,0.002122189,0.012424636019170288,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,4096,0.2,0.2,10,<function binary_crossentropy at 0x7f7b088b0e60>,8,128,Adam
18,0.012922868618199704,0.0023580375,0.012320778645642103,0.0017321488,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,1024,0.4,0.2,18,<function binary_crossentropy at 0x7f7b088b0e60>,32,32,SGD
26,0.012029407409068856,0.013795946,0.012031148113967766,0.1313228,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,512,0.30000000000000004,0.1,26,<function binary_crossentropy at 0x7f7b088b0e60>,64,16,SGD
34,0.0008019391507805864,0.002351263,0.0007718878384054903,0.25679588,<function sigmoid at 0x7f7b05e985f0>,<function sigmoid at 0x7f7b05e985f0>,4096,0.5,0.1,34,<function logcosh at 0x7f7b088b0cb0>,8,32,Adam
18,0.0008850467364466363,0.021156235,0.0008142567116253247,0.04248497,<function sigmoid at 0x7f7b05e985f0>,<function relu at 0x7f7b05e984d0>,128,0.5,0.5,18,<function logcosh at 0x7f7b088b0cb0>,8,8,SGD
2,0.004067012107906761,0.7026261,0.005563322830261858,0.6535549,<function relu at 0x7f7b05e984d0>,<function relu at 0x7f7b05e984d0>,128,0.1,0.4,10,<function binary_crossentropy at 0x7f7b088b0e60>,64,128,RMSprop
22,0.000250613365514218,0.71122015,0.00027986170627289955,0.63124835,<function relu at 0x7f7b05e984d0>,<function sigmoid at 0x7f7b05e985f0>,64,0.2,0.2,42,<function logcosh at 0x7f7b088b0cb0>,8,32,Adam
