round_epochs,loss,mean_absolute_error,r_squared,val_loss,val_mean_absolute_error,val_r_squared,activation1,activation2,batch_size,dropout,epochs,loss,neurons1,neurons2,optimizer
16,0.7158951474206745,0.7158952,0.9472189,0.48511368244819125,0.48511368,0.9798903,None,None,64,0.2,84,mae,256,256,SGD
3,1.4794872143796383,0.9258702,0.91695464,0.7981496505758833,0.8108658,0.947184,None,<function linear at 0x7f135031aa70>,16,0.4,20,mse,64,256,RMSprop
26,1.0791900354588406,0.75048375,0.94297016,0.16088269496206237,0.325926,0.9905062,None,None,64,0.1,84,mse,64,256,RMSprop
8,0.9639218206421817,0.9639217,0.88093704,0.44917161422981366,0.4491716,0.9776258,<function relu at 0x7f135031a7a0>,<function linear at 0x7f135031aa70>,8,0.30000000000000004,36,mae,32,128,Adam
10,0.9693771075959727,0.9693772,0.9124185,0.5932616030389515,0.5932616,0.97158295,None,None,32,0.2,36,mae,64,32,RMSprop
8,1.0570650194993556,0.7507262,0.9339882,0.8093190965480245,0.8270744,0.93942463,<function relu at 0x7f135031a7a0>,None,8,0.2,36,mse,256,256,SGD
10,1.2188722828973442,0.82515484,0.9353245,0.19602537212334153,0.35491207,0.9875568,None,<function linear at 0x7f135031aa70>,32,0.2,52,mse,128,64,SGD
16,0.9292428151746237,0.92924315,0.9100041,0.3680235195240641,0.36802354,0.98578805,None,None,16,0.2,52,mae,64,32,Adam
14,1.086161891720475,1.0861619,0.8938807,0.3556703606927368,0.3556704,0.9879569,None,<function linear at 0x7f135031aa70>,128,0.30000000000000004,36,mae,128,32,Adam
6,0.7584586905361335,0.7584587,0.94521904,0.43379902745477233,0.43379903,0.9835725,None,None,128,0.30000000000000004,20,mae,256,256,Adam
22,1.0140490374188993,1.0140489,0.89637476,0.5692380407055667,0.56923807,0.97274154,<function relu at 0x7f135031a7a0>,None,16,0.5,84,mae,32,128,SGD
4,1.7123817152851613,1.712382,0.71370775,0.5798439317578387,0.579844,0.9728671,<function relu at 0x7f135031a7a0>,<function linear at 0x7f135031aa70>,32,0.4,20,mae,128,32,Adam
